experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,1,100.0,9.48496389389038,0.07289210005129403,0.0,0.07289210005129403,76.13333333333333,60.08,49.46666666666667,0.0,49.46666666666667
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,2,100.0,9.664375286102295,0.08032648586097844,0.0,0.08032648586097844,78.66666666666667,76.8,38.01866666666667,0.0,38.01866666666667
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,3,100.0,9.98800968170166,0.08561909678949514,0.0,0.08561909678949514,86.0,82.56,28.68,0.0,28.68
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,4,100.0,10.477216157913208,0.08864080819361232,0.0,0.08864080819361232,86.8,81.88,20.632,0.0,20.632
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,5,100.0,11.222458534240722,0.09150289154139561,0.0,0.09150289154139561,84.0,80.24,12.037333333333333,0.0,12.037333333333333
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,6,100.0,12.100070714950562,0.09308104179104695,0.0,0.09308104179104695,82.8,71.6,7.416,0.0,7.416
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,7,100.0,12.964908599853516,0.09315489601517746,0.0,0.09315489601517746,79.33333333333334,55.72,4.7973333333333334,0.0,4.7973333333333334
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,8,100.0,13.635495195388794,0.09230960195647528,0.0,0.09230960195647528,76.53333333333333,36.4,2.8933333333333335,0.0,2.8933333333333335
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,9,100.0,14.052268953323365,0.0920266403142633,0.0,0.0920266403142633,57.33333333333333,17.2,1.7786666666666668,0.0,1.7786666666666668
1.0,30,10,True,5,5,50,0.005,1.0,0,5,gs,10,100.0,14.100037631988526,0.09209185290615346,0.0,0.09209185290615346,0.0,0.0,0.0,0.0,0.0
1.0,30,10,True,5,5,50,0.005,1.0,0,5,boston,10,100.0,9.418092288970946,0.09193183097394021,0.0,0.09193183097394021,0.0,0.0,0.0,0.0,0.0
